key,title,year,type,confidence,doi,best_match,status
Mandelbrot1982,B,unknown,book,"BOOK-CHECK (score=0.11, found: The A.B.C. Murders)",N/A,N/A,"BOOK-CHECK (score=0.11, found: The A.B.C. Murders)"
Peng1994,Mosaic organization of DNA nucleotides,1994,article,1.000,10.1103/physreve.49.1685,Mosaic organization of DNA nucleotides,VERIFIED
Muzy1993,"F., Bacry, E. & Arneodo, A. Multifractal formalism for fractal signals: the structure-function approach versus the wavelet-transform modulus-maxima method",1993,article,0.900,10.1103/physreve.47.875,Multifractal formalism for fractal signals: The structure-function approach versus the wavelet-trans,VERIFIED
Gillespie1992,D,unknown,article,0.0,ERROR,No results,ERROR
Kantelhardt2002,Multifractal detrended fluctuation analysis of nonstationary time series,2002,article,1.000,10.1016/s0378-4371(02)01383-3,Multifractal detrended fluctuation analysis of nonstationary time series,VERIFIED
Mallat2009,A Wavelet Tour of Signal Processing,unknown,book,"BOOK-VERIFIED (score=1.00, year=1998, found: A wavelet tour of signal processing)",N/A,N/A,"BOOK-VERIFIED (score=1.00, year=1998, found: A wavelet tour of signal processing)"
Efron1993,"& Tibshirani, R. J",unknown,book,BOOK-NOT-FOUND,N/A,N/A,BOOK-NOT-FOUND
Fawcett2006,An introduction to ROC analysis,2006,article,1.000,10.1016/j.patrec.2005.10.010,An introduction to ROC analysis,VERIFIED
MandelbrotVanNess1968,"B. & Van Ness, J. W. Fractional Brownian motions, fractional noises and applications",1968,article,0.857,10.1137/1010093,"Fractional Brownian Motions, Fractional Noises and Applications",VERIFIED
Wong2022,Y,unknown,book,"BOOK-CHECK (score=0.07, found: Una corte de niebla y furia)",N/A,N/A,"BOOK-CHECK (score=0.07, found: Una corte de niebla y furia)"
Lei2020,"& Nandi, A. K. Applications of machine learning to machine fault diagnosis: A review and roadmap",2020,article,0.915,10.1016/j.ymssp.2019.106587,Applications of machine learning to machine fault diagnosis: A review and roadmap,VERIFIED
Yurtsever2020,"& Takeda, K. A survey of autonomous driving: Common practices and emerging technologies",2020,article,0.881,10.1109/access.2020.2983149,A Survey of Autonomous Driving: <i>Common Practices and Emerging Technologies</i>,VERIFIED
Zhu2019,"& Morton, B. Survey of condition indicators for condition monitoring systems",2019,article,0.906,10.36001/phmconf.2014.v6i1.2514,Survey of Condition Indicators for Condition Monitoring Systems,VERIFIED (YEAR-MISMATCH)
ISO8608,Mechanical vibration -- Road surface profiles -- Reporting of measured data,unknown,standard,N/A (standard),N/A,N/A,SKIP-STANDARD
Mucka2018,Simulated road profiles according to ISO 8608 in vibration analysis,2018,standard,N/A (standard),N/A,N/A,SKIP-STANDARD
Zuraulis2021,"& Peceliunas, R. Variability of gravel pavement roughness: An analysis of the impact on vehicle dynamic response and driving comfort",2021,article,0.931,10.3390/app11167582,Variability of Gravel Pavement Roughness: An Analysis of the Impact on Vehicle Dynamic Response and ,VERIFIED
Chen2024,"& Li, X. Physics-informed machine learning for predictive maintenance: A comprehensive review",2024,article,0.767,10.1109/sds57534.2023.00016,Physics-Informed Machine Learning for Predictive Maintenance: Applied Use-Cases,LIKELY-OK
Li2023,"& Zhang, Z. Digital twin-driven prognostics and health management for complex equipment",2023,article,0.914,10.1016/j.cirp.2018.04.055,Digital twin driven prognostics and health management for complex equipment,VERIFIED (YEAR-MISMATCH)
KrejcarNamazi2025,"& Namazi, H. Review on the application of fractal theory in mechanical engineering",2025,book,BOOK-NOT-FOUND,N/A,N/A,BOOK-NOT-FOUND
Skar2023,"A., Rognlien, L. T. S., Sommerseth, C. & Pettinari, M. LiRA-CD: An open-source dataset for road condition modelling and research",2023,article,0.726,10.2139/ssrn.4489185,LiRA-CD: An Open-Source Dataset for Road Condition Modelling and Research,LIKELY-OK
ASTM_E1049,,2017,standard,N/A (standard),N/A,N/A,SKIP-STANDARD
Basquin1910,H. The exponential law of endurance tests,1910,article,0.606,10.1103/physrevlett.60.2246,Tests of the Exponential Decay Law at Short and Long Times,LIKELY-OK (YEAR-MISMATCH)
Dowling2013,E,unknown,book,"BOOK-CHECK (score=0.10, found: Se questo è un uomo)",N/A,N/A,"BOOK-CHECK (score=0.10, found: Se questo è un uomo)"
Sayles1978,"S. & Thomas, T. R. Surface topography as a nonstationary random process",1978,article,0.846,10.1038/271431a0,Surface topography as a nonstationary random process,LIKELY-OK
Persson2005,"N. J., Albohr, O., Tartaglino, U., Volokitin, A. I. & Tosatti, E. On the nature of surface roughness with application to contact mechanics, sealing, rubber friction and adhesion",2005,article,0.771,10.1088/0953-8984/17/1/r01,"On the nature of surface roughness with application to contact mechanics, sealing, rubber friction a",LIKELY-OK
Turcotte1997,L,unknown,book,"BOOK-CHECK (score=0.18, found: L’étranger)",N/A,N/A,"BOOK-CHECK (score=0.18, found: L’étranger)"
Robson1979,D. Road surface description and vehicle response,1979,article,0.846,10.1080/00423117708968527,Road Surface Description in Relation to Vehicle Response,LIKELY-OK (YEAR-MISMATCH)
Bendat2010,"S. & Piersol, A. G",unknown,book,BOOK-NOT-FOUND,N/A,N/A,BOOK-NOT-FOUND
CrandallMark1963,"H. & Mark, W. D",unknown,book,"BOOK-ERROR (HTTPSConnectionPool(host='openlibrary.org', port=443): Max retries exceeded with url: /search.json?title=H.+%26+Mark%2C+W.+D&limit=3 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000204A1699F70>, 'Connection to openlibrary.org timed out. (connect timeout=10)')))",N/A,N/A,"BOOK-ERROR (HTTPSConnectionPool(host='openlibrary.org', port=443): Max retries exceeded with url: /search.json?title=H.+%26+Mark%2C+W.+D&limit=3 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000204A1699F70>, 'Connection to openlibrary.org timed out. (connect timeout=10)')))"
Newland2005,E,unknown,book,"BOOK-CHECK (score=0.10, found: Se questo è un uomo)",N/A,N/A,"BOOK-CHECK (score=0.10, found: Se questo è un uomo)"
Miles1954,W. On structural fatigue under random loading,1954,article,0.966,10.1121/1.1918447,On Structural Fatigue under Random Loading,VERIFIED (YEAR-MISMATCH)
Crandall1962,H. Random vibration of beams,1962,article,0.943,10.1115/1.3640540,Random Vibration of Beams,VERIFIED
Lutes2004,"D. & Sarkani, S",unknown,book,BOOK-NOT-FOUND,N/A,N/A,BOOK-NOT-FOUND
Voss1985,F. Random fractal forgeries. In,unknown,book,BOOK-NOT-FOUND,N/A,N/A,BOOK-NOT-FOUND
Sarkar1994,"& Chaudhuri, B. B. An efficient differential box-counting approach to compute fractal dimension of image",1994,article,0.899,10.1109/21.259692,An efficient differential box-counting approach to compute fractal dimension of image,VERIFIED
Welch1967,"D. The use of fast Fourier transform for the estimation of power spectra: A method based on time averaging over short, modified periodograms",1967,article,0.989,10.1109/tau.1967.1161901,The use of fast Fourier transform for the estimation of power spectra: A method based on time averag,VERIFIED
Miner1945,A. Cumulative damage in fatigue,1945,article,0.643,10.1016/0025-5416(88)90406-5,Cumulative fatigue damage,LIKELY-OK (YEAR-MISMATCH)
Cover2006,"M. & Thomas, J. A",unknown,book,"BOOK-CHECK (score=0.38, found: Claim of D. A. and J. M. Thomas)",N/A,N/A,"BOOK-CHECK (score=0.38, found: Claim of D. A. and J. M. Thomas)"
Musgrave2000,"K., Kolb, C. E. & Mace, R. S. The synthesis and rendering of eroded fractal terrains",1989,article,0.783,10.1145/74334.74337,The synthesis and rendering of eroded fractal terrains,LIKELY-OK
